Question,Answer,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6
xdjdy,,办公,商业,文娱,,,
gshsx,,市场平等准入,公平待遇,,,,
tjdgt,,具备相对独立且符合本市相关规定的经营场所,诚信守法经营，个体工商户无违法违规记录，个体经营者无不良警示记录,个体工商户从事的经营项目应当符合本市及各区县产业政策的相关规定,,,
tzgzm,,大陆公安部门颁发的台湾居民居住证,大陆出入境管理部门颁发的台湾居民来往大陆通行证,,,,
sflbh,正确,,,,,,
yzgzy,错误,,,,,,
zyyzz,正确,,,,,,
xgrjy,错误,,,,,,
whfjy,正确,,,,,,
zxkxm,错误,,,,,,
gfhbs,错误,,,,,,
kjxbl,错误,,,,,,
bgdcl,错误,,,,,,
jjgbl,正确,,,,,,
dxggd,企业名称冠以“中国”、“中华”、“中央”、“全 国”、“国家”等字词的，国家市场监督管理总局应当按照 法律法规相关规定从严审核，提出审核意见并报国务院批 准。企业名称中间含有“中国”、“中华”、“全国”、“国 家”等字词的，该字词应当是行业限定语。外商投资企业名称中含有“（中国） ”字样的，其字号 应当与企业的外国投资者名称或者字号翻译内容保持一致，并符合法律法规规定。,,,,,,
mzdtj,根据《企业名称登记管理规定实施办法》第二十条 规定：已经登记的跨 5 个以上国民经济行业门类综合经营的 企业法人，投资设立 3 个以上与本企业字号相同且经营 1 年 以上的公司，同时各公司的行业或者经营特点分别属于国民 经济行业不同门类，其名称可以不含行业或者经营特点。除 有投资关系外，该企业名称应当同时与企业所在地同一行政 区域内已经登记的或者在保留期内的企业名称字号不相同。 前款企业名称不含行政区划名称的，除有投资关系外，还应 当同时与企业所在地省级行政区域内已经登记的或者在保 留期内的企业名称字号不相同。,,,,,,
dyzcz,"具有下列情形的股权不得用作出质：
（1）被依法冻结；
（2）将股权出质给本公司的；
（3）公司章程规定不得转让或者不得出质的；
（4） 以已经办理出质登记的股权再次出质的；
（5） 以未经公司登记机关登记的股权出质的；
（6）法律、行政法规规定不得办理出质登记的其他情 形。",,,,,,
dzylc,"（1）完整填报“经营范围规范管理服务平台”“ 规范 条目管理”-“条目新增”模块中所列全部信息。
（2）填写《新增经营范围规范表述申报表》并加盖局章。
（3）附与拟新增项目相关的政策文件、行业标准、专业文献等文件资料依据， 以书面形式报送市处审核。",,,,,,
xbknx,"（一）公司名称和住所；
（二）公司经营范围；
（三） 公司注册资本；
（四） 股东的姓名或者名称；
（五）股东的  出资方式、出资额和出资日期；
（六）公司的机构及其产生  办法、职权、议事规则
（七） 公司法定代表人的产生、变更办法；
（八）股东会会议认为需要规定的其他事项。",,,,,,
djdqx,市场主体未发生债权债务或者已将债权债务清偿完 结，未发生或者已结清清偿费用、职工工资、社会保险费用、 法定补偿金、应缴纳税款（滞纳金、罚款）， 并由全体投资 人书面承诺对上述情况的真实性承担法律责任的，可以按照 简易程序办理注销登记。,,,,,,
dczfs,股东可以用货币出资，也可以用实物、知识产权、土地使用权、股权、债权等可以用货币估价并可以依法转让 的非货币财产作价出资；但是，法律、行政法规规定不得作 为出资的财产除外。对作为出资的非货币财产应当评估作 价，核实财产，不得高估或者低估作价。法律、行政法规对 评估作价有规定的，从其规定。,,,,,,
szyqf,子公司具有法人资格，依法独立承担民事责任。分 公司不具有法人资格，其民事责任由公司承担。,,,,,,
ysygb,登记机关核对申请登记内容是否属于登记范畴，是 否属于本登记机关登记管辖范围内的事项，填报结果是否具 有完整性，是否具备《中国（北京）自由贸易试验区市场主 体登记确认制试行办法》规定的所需提交文件的形式要求。 符合上述要求的，登记机关对主体资格和登记事项的结果予 以确认，并通过企业信用信息公示系统进行公示。,,,,,,
xbhnx,个人独资企业应当依法登记以下事项：名称、类型、 经营范围、住所、出资额及投资人姓名及居所。,,,,,,
hqdtd,2021年3月1日,,,,,,
yfctl,北京市水务局关于印发《北京市供水可靠性管制工作细则（试行）》《北京市供水可靠性管制奖惩措施（试行）》的通知,,,,,,
gsqbj,水行政主管部门,,,,,,
ldyqw,不大于50吨,,,,,,
bljrs,公共排水管网运营单位,,,,,,
sytjs,管径50厘米及以下，接入管线长度200米及以内,,,,,,
sxbcg,2工作日,,,,,,
jxgzz,3个月内,,,,,,
hsxtj,产权证号、申请人、房屋坐落、面积、不动产单元号、用户编号等信息,,,,,,
dblkz,10%,,,,,,
nwcgs,6个自然日,,,,,,
dsydz,三十日,,,,,,
gblhj,2，环节 1：受理、勘察、制定方案、设计，环节 2：施工接水,,,,,,
clfbs,2，排水报装申请表，不动产权证正本复印件1份,,,,,,
xgxsj,北京市市政交通基础设施综合管理信息平台,,,,,,
fbgcx,北京市地下管线防护系统,,,,,,
ddjbm,市发展改革委,,,,,,
qxsdd,1.3，1.2,,,,,,
rgczx,并联审批,,,,,,
lfwfc,,社会投资低风险工程建设项目附属市政公用设施当中，供水连接水管直径不大于4厘米、排水连接水管直径不大于50厘米且日排水量不大于50吨。,非社会投资低风险工程建设项目（除社会投资低风险工程建设项目之外的其他项目）附属市政公用设施当中，供排水接入管线长度 100 米及以下，供水连接水管直径不大于4厘米、排水连接水管直径不大于 50 厘米且日排水量不大于50吨的新建非住宅工程建设项目。,,,,
shjzd,,加强供水能力建设，建设备用水源，提升供水安全系数，加强主力水厂配水管网互联互通，提升供水可靠性。,加强供水管网运行维护、及时更新改造老旧管网等供水设施，降低风险隐患和管网漏损率，减少因施工外力、地面沉降等因素引起的故障；加强管网信息系统建设，不断提高供水运行管理水平，提升供水可靠性。,"深化“互联网+服务”,加快智能水表换装和独立计量区建设，充分发挥智慧供水和管网调度系统作用，提升快速发现处置事故能力。",持续做好供水应急体系建设，加强与政府部门及各单位协同，加强抢修站点建设，做好抢修人员及备品备件储备工作，有效提升应急处置能力，最大限度缩小停水范围，避免长时间停水。,,
gsdsp,,停水口径≥DN600,停水口径小于DN600或者停水影响居民3000户以下,,,,
dyfdt,,水源水污染,供水管道爆管,,,,
xphfw,,联合踏勘,协同设计,联动施工,联合验收,,
dxzxk,,规划,施工,占用挖掘道路,占道施工及占用绿地,,
ynxtj,,微信、支付宝,北京自来水APP,实时联网银行,自来水集团营业网点柜台,,
zfsds,,窗口报装,邮件报装,微信报装,“一站式”服务平台,,
dsylx,,水源水,出厂水,管网末梢水,,,
snsgl,,零上门,零审批,零投资,,,
zjcnr,,检验水质颜色气味,检验水体微生物,进行物理化学检验,进行放射性检验,,
bnxxx,,所需材料,所需流程,报装成本,规定时间标准,,
xxzsp,,砍伐城市树木审批,占用挖掘城市道路审批,占道施工许可,,,
qjsmb,正确,,,,,,
jwejw,正确,,,,,,
bwmdy,正确,,,,,,
wylfm,错误,,,,,,
nxxjn,错误,,,,,,
ztzjs,错误,,,,,,
wqysr,正确,,,,,,
xszls,错误,,,,,,
bzbsf,正确,,,,,,
byzbj,正确,,,,,,
djsgs,5元/立方米×第一阶梯水量基数+7元/立方米×第二阶梯水量基数+9元/立方米×第三阶梯水量基数。,,,,,,
xtstz,会。市民可通过北京市自来水集团微信公众号、北京市自来水集团官网在线查询停水通知。,,,,,,
tsdqd,市长信箱、12345市民热线、北京市水务局官网线上投诉咨询、市水务局便民热线55522820、北京市自来水集团服务热线电话96116、北京市自来水集团官网咨询建议等。,,,,,,
sjrhj,受理及方案制定 →现场踏勘 →施工图设计 →施工图 审核 →职能部门审批 →工程施工 →验收通水,,,,,,
hjjsx,（1）2个工作日内完成受理客户报装并制定供水方案；（2）6个自然日内完成供水接入工程施工、验收、通水工作。,,,,,,
sslbs,对于居民用户，在登录京通小程序或首都之窗办理供排水报装时通过人脸识别功能自动获取申报人姓名、手机号、身份证号，无需用户手动填写。,,,,,,
syzbs,对于非居民用户，在京通小程序或首都之窗办理供排水报装时输入建筑工程规划许可证批准号和土地使用权证号后，系统后台匹配直接调取相关电子证照，无需用户手动上传。,,,,,,
zjlcs,节水咨询、设计、检测、认证、审计、水平衡测试、技术改造、运行管理、节水宣传等。,,,,,,
wsnsl,（1）零上门：服务企业上门服务，无需用户往返 营业厅；（2）零审批：免于办理任何行政审批手续；（3）零投资：服务企业投资建设，用户无需花钱；,,,,,,
djgjg,市通信管理局,,,,,,
bxytg,单位房产证或租赁合同,,,,,,
wjxts,市住房城乡建设委,,,,,,
ctlgy,2013,,,,,,
htgfw,不能,,,,,,
dryyg,10%,,,,,,
slhys,遵循市政公用基础设施报装要求的相关成本,,,,,,
hzsgg,用电、用水、互联网,,,,,,
kyxgx,互联网服务中的延迟、互联网连接的下载/上传速度,,,,,,
ddnrs,报装相关文件、步骤、时限和收费表的可获得性,,,,,,
nycgz,五日内,,,,,,
xstgs,七十二小时,,,,,,
sxzsw,5,,,,,,
dzszf,公众市场,,,,,,
nzcsl,5个工作日,,,,,,
dyxqw,5,,,,,,
jtxjs,《通信建设工程竣工验收备案表》,,,,,,
blzts,北京市通信管理局,,,,,,
blzts,各区通信建设管理办公室,,,,,,
fwcqz,工程建设项目通信报装申请表,,,,,,
bjsgc,北京市投资项目在线审批监管平台,,,,,,
ggzrn,2,,,,,,
ggzrn,2,,,,,,
qdjsz,无线覆盖使用协议,,,,,,
qdjsz,光纤接入协议,,,,,,
ggzrn,15 15 ,,,,,,
dtxjc,通信工程质量监督部门,,,,,,
ggzrn,9个,,,,,,
nxywn,无线覆盖业务,,,,,,
wycsb,一网通办,,,,,,
twhbk,,北京联通,北京移动,北京电信,歌华有线,,
dclbk,,工程建设项目通信报装申请表,产权证明,营业执照,,,
szqdy,,未经用户同意，电信业务经营者、互联网信息服务提供者不得收集、使用用户个人信息。,电信业务经营者、互联网信息服务提供者收集、使用用户个人信息的，应当明确告知用户收集、使用信息的目的、方式和范围，查询、更正信息的渠道以及拒绝提供信息的后果等事项。,电信业务经营者、互联网信息服务提供者不得收集其提供服务所必需以外的用户个人信息或者将信息用于提供服务之外的目的，不得以欺骗、误导或者强迫等方式或者违反法律、行政法规以及双方的约定收集、使用信息。,电信业务经营者、互联网信息服务提供者在用户终止使用电信服务或者互联网信息服务后，应当停止对用户个人信息的收集和使用，并为用户提供注销号码或者账号的服务。,,
xnxnr,,名称,法定代表人,业务种类,业务覆盖范围,,
fstxy,,短信,语音,互联网,其他,,
bxltj,,经营者为依法设立的公司,有与开展经营活动相适应的资金和专业人员,有为用户提供长期服务的信誉或者能力,国家规定的其他条件,,
xtlgd,,限定电信用户使用其指定的业务,无正当理由拒绝、拖延或者中止对电信用户的电信服务,对电信用户不履行公开作出的承诺或者作容易引起误解的虚假宣传,以不正当手段刁难电信用户或者对投诉的电信用户打击报复,,
hnxtj,,申诉人是与申诉事项有直接利害关系的当事人,有明确的被申诉人,有具体的申诉请求和事实根据,已经向被申诉人投诉且对其处理结果不满意或者其未在15日内答复,,
hzxjj,,仲裁机构申请仲裁 ,人民法院提起诉讼,,,,
xwjcl,,项目立项批准文件,施工图设计审查批准文件,工程勘察、设计、施工、监理等单位的资质等级证书,其他相关文件,,
sdtyg,,市政公用基础设施报装的在线应用程序,账单和报装费用的在线查询,投诉流程清晰可查,,,
mzjbk,,建筑企业,承包商,工程师,电工和电信运营商,,
zzxck,,前期咨询,业务受理,,,,
yscyd,,北京联通,北京移动,北京电信,北京铁塔,,
ghhxn,,新建住宅区,商务楼宇,公共建筑,,,
jyxfw,正确,,,,,,
zkhjk,错误,,,,,,
rfwyw,正确,,,,,,
qydfy,错误,,,,,,
byzbj,正确,,,,,,
xfgbz,错误,,,,,,
xbhnx,（1）新建、改扩建工程建设项目的无线通信信号覆盖。（2）新建、改扩建工程建设项目的通信管道及光纤接入。,,,,,,
xnxzr,通信建设主管部门负责受理属地内报装需求，落实通信设施报装的前期咨询、业务受理、组织现场勘察、答复、登记等工作，在日常工作中需严格履行“统一勘察、统一设计、统一施工、统一验收”、“验收不合格不予接入”的基本建设程序。,,,,,,
bktyw,需满足公平准入原则，保障联通、移动、电信三家运营商同时具备接入条件。,,,,,,
sjczz,市区两级,,,,,,
ggzrn,7,,,,,,
dxzjg,可以不予提供,,,,,,
wrhfz,线上线下,,,,,,
znsdl,办事方式多元化,,,,,,
ybyhd,1000；租用；借用；临时占用,,,,,,
hytgz,2020年4月28日,,,,,,
glrsq,决定书,,,,,,
jsjxg,16,,,,,,
sxyyg,行政许可,,,,,,
ptstb,六,,,,,,
xglwh,北京市政务服务事项管理系统,,,,,,
fzjzs,进驻部门、政务服务中心,,,,,,
dsqcl,一个工作日内,,,,,,
ycxgz,补齐补正通知书,,,,,,
gzrrn,7、15,,,,,,
dwtzd,,找不到,看不懂,用不上,,,
rqyxs,,数字服务,政策服务,热线服务,,,
mymtx,,“信用中国（北京）”网,“京通”小程序,市区两级政务服务大厅,,,
jjcbk,,建立标准统一、运行规范、线上线下相融合的政务服务体系,系统性、整体性、协同性推进政府管理和服务改革创新，提升政务服务数字化、智慧化水平,完善政务服务体系，建立健全政务服务事项管理、一体化线上服务、政务服务中心建设、政务服务实施、便民热线运行、服务评估评价等标准规范，提供泛在可及、公平普惠的政务服务,加大协同化改革力度，整合跨层级、跨部门、跨区域政务服务要素，全面推行“一业一证”改革，扩大“一件事”改革覆盖领域，深化京津冀政务服务合作，实现更多政务服务事项“跨省通办”“移动办”，提速“北京+雄安”政务服务同城化发展,,
dgxzw,,泛在可及,智慧便捷,公平普惠,,,
yjsjc,,大型营业性演出活动,大型体育赛事活动,大型展览展销活动,,,
dsxqd,,企业迁移登记“一件事”,大件运输“一件事”,就医费用报销“一件事”,申请公租房“一件事”,,
zdsxq,,开办餐饮店“一件事”,水电气网联合报装“一件事”,信用修复“一件事”,开设道路货运“一件事”,,
sxcws,,网上办,掌上办,一次办,,,
hslqd,,制度创新,技术创新,,,,
dzfyx,,数字化,智能化,,,,
wfwdn,,智慧服务,高效监管,科学决策,,,
wfwsx,,同事项名称,同受理标准,同申请材料,同办理时限,,
ddgly,,信息共享,凭证代替,告知承诺,部门核查,,
xblhr,,直接生效,备案后生效,认定后生效,,,
kyxnx,,数据库表交换,数据探针,接口交换核心要素,,,
ygrcj,,公民身后“一件事”,军人退役“一件事”,异地就医备案“一件事”,,,
mxywc,,编制场景建设工作方案,实施跨部门业务流程整合优化,编制发布场景办事指南,开展政策解读,,
yblsx,,食品经营许可新办审批（设区的市级权限）,小餐饮店许可,烟草制品零售许可(设区的市级权限)新办,城镇污水排入排水管网许可（直辖市权限）首次申请,公众聚集场所投入使用、营业前消防安全检查（设区 的市级权限）,牌匾标识设置方案上传公开
tbghj,,企业变更登记,印章刻制,基本账户变更,税控设备变更发行,社会保险登记变更,住房公积金企业缴存登记变更
zdqlc,,经办人,首席代表,,,,
dyxjz,,前台综合受理,后台分类审批,综合窗口出件,,,
llcbk,,登记问题、分析原因,派发工单、限期解决,结果核查、提级响应,,,
lblsp,正确,,,,,,
cssjs,正确,,,,,,
xhbsb,正确,,,,,,
wggzr,错误,,,,,,
gkdsx,错误,,,,,,
xhczq,错误,,,,,,
xmlgl,错误,,,,,,
swsbl,正确,,,,,,
hglzd,错误,,,,,,
lclbl,正确,,,,,,
qgxyx,正确,,,,,,
ytygf,正确,,,,,,
hjdyz,正确,,,,,,
fjwqz,正确,,,,,,
szhfw,正确,,,,,,
kblcg,错误,,,,,,
fsdnr,错误,,,,,,
bsplc,错误,,,,,,
fwyjs,错误,,,,,,
fwyjs,正确,,,,,,
zlhxn,正确,,,,,,
ywdyq,正确,,,,,,
ddxtk,错误,,,,,,
dhbgt,错误,,,,,,
jxypz,正确,,,,,,
zztpx,错误,,,,,,
bcswt,错误,,,,,,
gcdtz,正确,,,,,,
lwtjj,正确,,,,,,
fsdys,正确,,,,,,
jgdxx,错误,,,,,,
zyccl,正确,,,,,,
llhfw,正确,,,,,,
pbasx,新申请涉外营业性艺术品展览活动，食品展销会展前报告，文物进境展览备案办理，跨省、自治区、直辖市举办大型群众性活动安全许可，临时性商业户外广告设施设置方案上传公开，境内举办涉外经济技术展览会备案，海关展览会备案。,,,,,,
msfbw,全程网办、异地代收代办、多地联办,,,,,,
sfwdw,“京通”（网上办事门户）。,,,,,,
bybzb,智能审批、在线导办、智能咨询,,,,,,
zhrfs,对备案后生效的资质资格，企业群众凭已有资质资格在当地备案，审批部门原则上按即办件办理，备案后即可使用；对认定后生效的资质资格，企业群众凭已有资质资格申领当地证照文书，审批部门原则上按即办件办理。对备案生效和认定生效的资质资格，审批部门除原有资质资格、申请书等基本申请材料外，不得额外增加申请材料、提高申办条件。,,,,,,
lcssy,"第一步,确定材料调整符合我市精简材料工作的要求，如果修改后的材料涉及材料份数的增加和提交方式的变化，需与市政数局负责精简材料的处室报备;
第二步,确定变更材料是否已纳入全市材料名录标准库。如果未纳入，需先申请纳入;
第三步,登录北京市政务服务事项管理系统，对事项发起变更，修改申报材料信息，提交事项变更申请。",,,,,,
lxynx,"办件数据是各类法人和自然人在办理政务服务事项过程中，全市各级各类政务服务平台采集、产生的办事申请、事项受理、办理过程、办理结果等各类数据。
纳入办件数据工作范围的政务服务事项类型包括依申请的行政许可、行政给付、行政确认、行政奖励、行政裁决、其他行政全力和依申请公共服务事项共七类。",,,,,,
gzxfk,建立“好差评”数据生成、归集、传输、分析、反馈机制。,,,,,,
rhdyd,集中为公民、法人和其他组织提供政务服务事项受理、办理、反馈等服务的实体平台。,,,,,,
szhdy,法治,,,,,,
zqgnw,改革开放,,,,,,
lyshj,高标准国际经贸规则,,,,,,
hzygh,营商环境,,,,,,
zyfyq,营商环境,,,,,,
gjjyz,问题导向、需求导向、亲清政商关系、获得感,,,,,,
jdzcl,服务意识,,,,,,
dschj,公平竞争,,,,,,
wsfwb,优化营商环境,,,,,,
dxxzs,亲清统一,,,,,,
yshjj,法治化,,,,,,
kflsz,制度型,,,,,,
zjtjh,引资稳资力度,,,,,,
gjyld,人才发展环境,,,,,,
yzsch,外商投资权益,,,,,,
sqmjs,高质量发展,,,,,,
jsgbz,市场化改革,,,,,,
yxysh,1500,,,,,,
jycsd,10,,,,,,
sczzc,4.4,,,,,,
wgjzl,10,,,,,,
wlaqh,生物医药,,,,,,
xydxx,集成电路,,,,,,
yxzwf,400,,,,,,
ycjqg,首位,,,,,,
tggyd,,环境,服务,,,,
dfmfp,,放宽市场准入,促进公平竞争,保护知识产权,建设统一大市场,,
yshjb,,市场化,法治化,国际化,,,
qrmqz,,获得感,幸福感,安全感,,,
yshjd,,法治化 ,市场化 ,国际化,,,
xtxry,,规则,规制,管理,标准,,
hjhql,,促消费,惠民生,,,,
dscjj,,产权保护,市场准入,公平竞争,社会信用,,
blblb,,推动高质量发展,服务群众,防范化解风险,,,
slldj,,创新链,产业链,供应链,,,
swytx,,技术研发,产业培育 ,人才培养,,,
zfwxf,,法治化,市场化,便利化,国际化,,
yqzzz,,能办事,快办事,好办事,办成事,,
zdjcw,,北京标准,北京效率,北京诚信,,,
xgzms,,前台综合受理,后台分类审批,综合窗口出件,,,
yshtj,正确,,,,,,
shjgz,正确,,,,,,
cnzfs,错误,,,,,,
jddfs,错误,,,,,,
dlqbm,正确,,,,,,
tfzhl,正确,,,,,,
kcxsj,正确,,,,,,
chxnr,正确,,,,,,
cyyyp,正确,,,,,,
jgzsh,正确,,,,,,
398,---------,---------,---------,---------,---------,,
wszbs,1,,,,,,
xbmbk,实施编码和业务项代码,,,,,,
ywbsw,administrative service centre,,,,,,
bcltg,电子化,,,,,,
dtytg,无障碍功能和多语种功能,,,,,,
bgdpc,北京效率,,,,,,
fwbzt,一站式,,,,,,
tdzwf,人工智能+政务服务,,,,,,
ydydm,即时互动,,,,,,
yyxzj,专业顾问,,,,,,
hxgbm,12345市民服务热线,,,,,,
zxsjy,人工智能客服,,,,,,
sxbcg,0.5,,,,,,
ywbsw,item stationing,,,,,,
ddqgc,提出申请，收到办理结果,,,,,,
dzcxs,北京服务,,,,,,
jgzyd,强人才重教育，打造优质均衡、人才辈出的教育体系,,,,,,
fwjly,全程网办,,,,,,
pjzts,行政相对人,,,,,,
yjsds,社保信息填报,,,,,,
lbcqx,不少于3年,,,,,,
jgqpx,2个月,,,,,,
ddyjc,先培训后实施,,,,,,
nwcwt,1周,,,,,,
xxdwy,编码,,,,,,
ggzrn,5,,,,,,
djtsx,外国人来华工作公积金缴纳,,,,,,
djtsx,婚姻信息核验,,,,,,
jfpjr,“京通”小程序,,,,,,
jyzzd,公开透明,,,,,,
yqbzy,数据来源不同（线下 vs 线上）,,,,,,
lygpb,公用事业,,,,,,
fzqds,服务窗口应先将拟公开信息提交本部门或保密工作部门审核，再选择中心网站、政府公报等方式公开。,,,,,,
tcysb,2,,,,,,
kfwds,行政机关在履行行政管理职能过程中形成的磋商信函、请示报告等过程性信息以及行政执法案卷信息。,,,,,,
dzzwf,全国一体化政务服务平台,,,,,,
dyzbd,赋权、下沉、增效,,,,,,
ysdqj,70%，100%,,,,,,
sxhlh,综合咨询电话,,,,,,
yrhsz,使用本部门承办该事项的内设机构电话,,,,,,
jylxh,1个工作日内,,,,,,
dfsxc,委托受理、授权办理、帮办代办,,,,,,
xzxsy,示意咨询者稍候，至当前服务结束后再予以解答,,,,,,
xngdd,服务咨询台或认领处,,,,,,
wzlfc,上级或有关部门发送至本单位的各类纸质或电子介质的公文、资料。,,,,,,
fcwds,应存于计算机系统盘内；,,,,,,
bsxzc,“免申即享”,,,,,,
zysfw,一类事,,,,,,
jhsjj,帮办代办,,,,,,
cfdzl,刑事拘留,,,,,,
jlqxw,五日以上十日以下,,,,,,
jghfk,扰乱医院秩序，导致医疗无法正常进行但未造成严重损失,,,,,,
dgxyd,订立书面劳动合同,,,,,,
ndlsm,一个月内,,,,,,
xzqjl,订立劳动合同、用工之日,,,,,,
swlsx,让用户通过一套凭证，访问所有已授权的网络应用。,,,,,,
xsssy,一种以电子签名数据为表现形式的印章,,,,,,
xcfds,从企业和群众办事的需求和视角出发,,,,,,
dpdzg,网络阻隔,,,,,,
zzqds,将部分材料内容用于政务服务相关的统计分析,,,,,,
fzqds,依法生成的可靠电子印章与实物印章具有同等法律效力，但部分特殊领域可能仍需实物印章,,,,,,
zymds,统筹推进新产业、新业态、新模式发展中复杂的涉企审批服务项目,,,,,,
cldyd,一次性告知需要补正的内容,,,,,,
ddtds,允许市场主体自主选择办理渠道,,,,,,
lnzxw,为市场主体指定或变相指定中介服务机构,,,,,,
zdmds,听取市场主体诉求，帮助解决生产经营困难,,,,,,
lnlyq,购买指定商品、接受有偿服务,,,,,,
sbjzd,索取或收受申请人的财物,,,,,,
ldydy,上级行政机关或监察机关,,,,,,
bzlgz,不在办公场所公示依法应当公示的材料,,,,,,
hxyzs,自愿真实、保护信息,,,,,,
qnzfs,强制服务对象现场完成评价后再离开,,,,,,
stxpj,短信、消息提醒,,,,,,
hydpj,推送统一的评价页面提醒评价,,,,,,
sbcfk,勾选差评原因选项或填写其他原因,,,,,,
ycpfc,“差”“不满意”,,,,,,
fwnjl,立整立改类、限时整改类、综合协调类,,,,,,
yrhcl,认定为无效差评并记录为 “未评”,,,,,,
czyqs,当场给予答复并即时整改,,,,,,
fzgjg,5 个工作日,,,,,,
nxzwf,1 个工作日,,,,,,
hzcjd,直接作出同意决定,,,,,,
bzbgb,市级政务服务部门编制市级总清单，区级政务服务部门编制区级总清单,,,,,,
xqdgs,政务服务大厅、网上办事大厅、部门网站等渠道,,,,,,
xdtjs,政府部门盖章且申请人签字或盖章,,,,,,
wdyjs,新办事指南和标准问答知识库,,,,,,
yrhcl,不再纳入工作台账，避免重复派发《工作单》,,,,,,
thszg,事项实施单位,,,,,,
yrhcl,调查研究并提出解决方案,,,,,,
dzyyj,绩效考核,,,,,,
dsxwa,国家秘密、国家安全；,,,,,,
czcsf,受理,,,,,,
dslxy,委托部门审批业务专用章,,,,,,
dbzjx,审核要点,,,,,,
zysqw,申请人,,,,,,
nzccl,承诺办结时限,,,,,,
zdszh,社会主义,,,,,,
jjgsx,民主集中制,,,,,,
gdbdt,宪法,,,,,,
xdyws,administrative service centre,,,,,,
ywfyw,counter,,,,,,
zxsld,服务单元,,,,,,
yqdgz,执业技能,,,,,,
jzdyq,着装得体、说话轻声细语、优雅从容,,,,,,
smfwr,12345,,,,,,
gjmms,法律,,,,,,
hlyzs,特别严重,,,,,,
dgjmm,最重要,,,,,,
xdzzx,工作需要,,,,,,
zsjgj,私人交往和通信,,,,,,
ysyby,3号仿宋,,,,,,
ynzzt,2号小标宋体字,,,,,,
xwzfy,二,,,,,,
jzbpf,成文日期之上、以成文日期为准居中,,,,,,
dypts,网站,,,,,,
gzdfc,强制收费制度,,,,,,
dsyzd,负面清单制度,,,,,,
yrhcl,整合并入本级政务服务中心,,,,,,
mshls,前台综合受理、后台分类审批、综合窗口出件,,,,,,
zygns,解决办事疑难事项和复杂问题,,,,,,
kzssg,2个月,,,,,,
ssdws,第三方服务单位,,,,,,
ssdws,本级相关审批部门,,,,,,
ssdws,本街道（乡镇）政务服务部门,,,,,,
qfgpx,1个月,,,,,,
wzzzz,规范,便民,高效,,,,
dzcbf,行政区划代码,事项类型代码,子项代码,,,,
zcyfh,统一社会信用代码,行使层级代码,事项基本编码,,,,
dyxlf,信息公开,网上办理,民意互动,,,,
yyxnr,政务服务中心简介及机构设置,政务服务中心办公地址、办公时间、公交运行线路、服务热线电话,进驻部门窗口及办理事项,网上投诉、网上咨询、意见征集的答复或结果,,,
kdbxy,公开性,易用性,时效性,兼容性,,,
lfwbk,网上注册/登录,网上预约,网上申报,办理状态查询,,,
rzybk,投诉举报受理编号,被投诉举报进驻部门,被投诉举报人姓名,投诉举报内容,,,
gzzsx,办事方式多元化,办事流程最优化,办事材料最简化,,,,
szqds,各级各类政务服务大厅前台引导人员、综窗服务人员、帮办代办人员和业务审批人员都应及时学习最新政策情况,对已来到政务服务大厅的办事企业群众，应现场即时提供帮办代办服务,应通过大厅、电话、网络等渠道，为企业群众提供咨询、引导等服务,,,,
sdgdy,按照办事指南的规定办理政务服务事项，不得提出办事指南规定以外的要求,需要进行现场踏勘、现场核查、技术审查、听证论证的，应当在规定时限内及时安排，不得推诿、拖延,同一政务服务事项在同等情况下，应当同标准受理、同标准办理,能够通过政府部门之间信息共享获取的材料，不得要求经营主体提供,,,
jksbs,就近办事,随时办事,多点办事,,,,
dxjzs,大数据,人工智能,区块链,,,,
sxqyh,减时间,减环节,减材料,减跑动,,,
zdrws,聚焦保障改善民生，推动个人服务高频事项“跨省通办”。,聚焦助力惠企利企，推动企业生产经营高频事项“跨省通办”。,鼓励区域“跨省通办”先行探索和“省内通办”拓展深化。,,,,
dzcnl,电子证照,身份认证,电子印章,,,,
aqkkd,统筹协调,标准统一,依法共享,合理使用,,,
dzxfw,在线,即时,互动,,,,
dfswz,办事指南链接,知识库统一标准答案,市级专业大厅和区、街乡级政务服务中心咨询电话、地址,,,,
ggzrd,12:00,17:00,,,,,
zdqlc,经办人,首席代表,,,,,
bmfws,行政区划内承担行政审批事项和公共服务事项的本级政府职能部门,行政区划内法律、法规、规章授权的具有管理公共事务职能的组织,,,,,
sfbzh,设立依据,办理条件,申报材料,办理流程,,,
xjbyq,遵纪守法,掌握相关国家方针政策、法律法规和进驻事项的办理规程,是进驻部门的在职在岗工作人员,具备从事窗口工作所需的业务和服务技能,,,
wgfdy,代办服务,上门服务,电话服务,网络服务,,,
wgfdy,政务公开,首问负责,一次性告知,限时办结,,,
djsbk,推进线下办事“只进一门” ,推进线上办事“一网通办”,推进企业和群众诉求“一线应答”,,,,
zdjjb,省内通办,跨省办,,,,,
xnxyz,坚持人民至上,坚持标准规范,坚持精准高效,坚持改革创新,,,
yytdq,政策服务,数字服务,热线服务,,,,
dfwms,数字人服务,智能审批,交互式办事,自由组合申办,,,
dgpdz,身份证,户口簿,居住证,,,,
zcyzl,开办,变更,注销,,,,
yggrh,“一件事”,“一业一证”,,,,,
dqyfz,跨区域,跨部门,跨层级,,,,
dyzbk,合法公正,全面覆盖,公开透明,以评促改,,,
